Movie_name,Cast Info,Genre Info
Citizen Kane,"The cast of the movie Citizen Kane includes Joseph Cotten as Jedediah Leland,Orson Welles as Charles Foster Kane,Agnes Moorehead as Mary Kane,Dorothy Comingore as Susan Alexander Kane,Erskine Sanford as Herbert Carter,Everett Sloane as Mr. Bernstein,Fortunio Bonanova as Matiste,George Coulouris as Walter Parks Thatcher,Georgia Backus as Miss Anderson,Gus Schilling as The Headwaiter,Harry Shannon as Kane's Father,Paul Stewart as Raymond,Philip Van Zandt as Mr. Rawlston,Ray Collins as James W. Gettys,Ruth Warrick as Emily Monroe Norton Kane,William Alland as Jerry Thompson.","The genre of the movie is Drama,Mystery."
The Godfather,"The cast of the movie The Godfather includes Al Pacino as Michael Corleone,Marlon Brando as Don Vito Corleone,Abe Vigoda as Sal Tessio,Al Lettieri as Virgil 'The Turk' Sollozzo,Diane Keaton as Kay Adams,Gianni Russo as Carlo Rizzi,James Caan as Santino 'Sonny' Corleone,John Cazale as Fredo Corleone,John Marley as Jack Woltz,Richard Conte as Don Emilio Barzini,Richard S. Castellano as Peter Clemenza,Robert Duvall as Tom Hagen,Rudy Bond as Don Carmine Cuneo,Sterling Hayden as Capt. McCluskey,Talia Shire as Connie Corleone Rizzi.","The genre of the movie is Drama,Thriller,Crime."
Rear Window,"The cast of the movie Rear Window includes Frank Cady as Man On Fire Escape,Georgine Darcy as Miss Torso,Grace Kelly as Lisa Carol Fremont,James Stewart as L.B. 'Jeff' Jefferies,Judith Evelyn as Miss Lonelyhearts,Raymond Burr as Lars Thorwald,Ross Bagdasarian as Songwriter,Sara Berner as Woman On Fire Escape,Thelma Ritter as Stella,Wendell Corey as Det. Lt. Thomas J. Doyle,Havis Davenport as Newlywed,Irene Winston as Mrs. Emma Thorwald,Jerry Antes as Dancer With Miss Torso,Jesslyn Fax as Miss Hearing Aid,Rand Harper as Newlywed.","The genre of the movie is Mystery,Thriller."
Casablanca,"The cast of the movie Casablanca includes Humphrey Bogart as Rick Blaine,Ingrid Bergman as Ilsa Lund,Claude Rains as Captain Louis Renault,Conrad Veidt as Major Heinrich Strasser,Curt Bois as Pickpocket,Dooley Wilson as Sam,Enrique Acosta as Guest At Rick's,John Qualen as Berger,Joy Page as Annina Brandel,Leonid Kinskey as Sascha,Madeleine Lebeau as Yvonne,Paul Henreid as Victor Laszlo,Peter Lorre as Ugarte,S.Z. Sakall as Carl,Sydney Greenstreet as Signor Ferrari.","The genre of the movie is Drama,Romance,War."
Boyhood,"The cast of the movie Boyhood includes Bonnie Cross as Teacher,Elijah Smith as Tommy,Ellar Coltrane as Mason,Ethan Hawke as Dad,Libby Villari as Grandma,Lorelei Linklater as Samantha,Marco Perella as Professor Bill Welbrock,Patricia Arquette as Mom,Steven Chester Prince as Ted,Alyssa Petersen as Missy,Andrea Chen as Sam's Roommate,Andrew Villarreal as Randy,Angela Rawna as Professor Douglas,Bonnie Cross as Teacher,Brad Hawkins as Jim,Cassidy Johnson as Abby,David Blackwell as Liquor Store Clerk,Deanna Brochin as College Student,Derek Chase Hickey as Steve,Elijah Smith as Tommy,Ethan Hawke as Mason Sr.,Evie Thompson as Jill,Greg Baglia as Additional Voices,Jamie Howard as Mindy,Jonathan Bell as Kitchen Worker,Jordan Howard as Tony,Libby Villari as Mother,Lorelei Linklater as Samantha,Marco Perella as Professor Bill Welbrock,Mark Finn as Himself,Megan Devine as Make Out Girl,Mona Lee Fultz as Teacher,Natalie Wilemon as College Student,Nick Krause as Charlie,Patricia Arquette as Olivia,Ryan Power as Paul,Sam Dillon as Nick,Savannah Welch as College Student,Shane Graham as Stanley,Sharee Fowler as Book Trivia Judge,Steven Chester Prince as Ted,Sydney Orta as Elementary School Girl,Tamara Jolaine as Tammy,Tess Allen as Neighborhood Friend 2,Zoe Graham as Sheena.",The genre of the movie is Drama.
Three Colors: Red,"The cast of the movie Three Colors: Red includes Irène Jacob as Valentine,Jean-Louis Trintignant as Le Juge Joseph Kern,Bernard Escalon as Le Disquaire (Record Dealer),Brigitte Raul as Cast,Elzbieta Jasinska as La Femme (Woman),Frédérique Feder as Karin,Jean Schlegel as Le Voisin (Neighbour),Jean-Marie Daunas as Le Gardien Du Théâtre (Theatre Manager),Jean-Pierre Lorit as Auguste,Leo Ramseyer as Cast,Marion Stalens as Le Vétérinaire (Veterinary Surgeon),Paul Vermeulen as L'ami De Karin (Karen's Friend),Roland Carey as Le Trafiquant (Drug Dealer),Samuel Le Bihan as Le Photographe (Photographer),Teco Celio as Le Barman (Barman).","The genre of the movie is Drama,Mystery,Romance."
Vertigo,"The cast of the movie Vertigo includes Barbara Bel Geddes as Midge Wood,David Ahdar as Priest,Ellen Corby as Manager Of McKittrick Hotel,Henry Jones as Coroner,James Stewart as John 'Scottie' Ferguson,Kim Novak as Madeleine Elster/Judy Barton,Konstantin Shayne as Pop Leibel,Lee Patrick as Car Owner Mistaken For Madeleine,Raymond Bailey as Scottie's Doctor,Tom Helmore as Gavin Elster,Danny Borzage as Juror,Isabel Analla as Undetermined Role,Jack Ano as Undetermined Role,John Benson as Salesman,Margaret Bacon as Nun.","The genre of the movie is Mystery,Thriller,Romance."
Notorious,"The cast of the movie Notorious includes Derek Luke as Sean 'Puffy' Combs,Jamal Woolard as Christopher 'Biggie' Wallace,Amanda Christopher as Keisha,Angela Bassett as Voletta Wallace,Christopher Jordan Wallace as Biggie (Age 8-13),Cyrus Farmer as Selwyn,David Costabile as Mr. Webber,Dennis L.A. White as Damion 'D-Roc' Butler,Ginger Kroll as Debbie,Jasper Briggs as Damion (Age 8-13),Marc John Jefferies as Lil Cease,Menyone DeVeaux as Hot Girl,Mohamed Dione as Record Executive At Party,Nina Daniels as Street Commentator,Ricky Smith as Wally.","The genre of the movie is Biography,Drama,Music."
Singin' in the Rain,"The cast of the movie Singin' in the Rain includes Cyd Charisse as Dancer,Dawn Addams as Teresa - A Lady-In-Waiting,Debbie Reynolds as Kathy Selden,Donald O'Connor as Cosmo Brown,Douglas Fowley as Roscoe Dexter,Gene Kelly as Don Lockwood,Jean Hagen as Lina Lamont,John Albright as Call Boy,Millard Mitchell as R.F. Simpson,Rita Moreno as Zelda Zanders,Bette Arlen as Chorus Girl,Betty Allen as Chorus Girl,Jimmy Bates as Boy,Marie Ardell as Chorus Girl,Sue Allen as Chorus Girl.","The genre of the movie is Comedy,Romance,Musical."
City Lights,"The cast of the movie City Lights includes Charles Chaplin as A Tramp,Virginia Cherrill as A Blind Girl,Al Ernest Garcia as His Butler,Albert Austin as Street Sweeper/Burglar,Betty Blair as Woman At Center Of Table In Restaurant,Buster Brodie as Bald Party Guest,Eddie Baker as Boxing Fight Referee,Florence Lee as Her Grandmother,Hank Mann as A Prizefighter,Harry Ayers as Cop,Harry Myers as An Eccentric Millionaire,Henry Bergman as Mayor/Blind Girl's Downstairs Neighbor,Jack Alexander as Extra In Boxing Scene,T.S. Alexander as Doctor,Victor Alexander as Superstitious Boxer.","The genre of the movie is Drama,Comedy,Romance."
Moonlight,"The cast of the movie Moonlight includes Andrew Howard as Gang Leader,Aurélie Petrini as Handicapped Girl,David Bustard as Gang Member 1,Elvir Sabanovic as Gang Member 2,Emma Drews as Daphne,Franck Sasonoff as Escort,Hunter Bussemaker as Boy,Janine Horsburgh as Nun 1,Jemma Redgrave as Mother,Johan Leysen as Father,Laurien Van den Broeck as Claire,Quick as Jonas The Dog,Sarah Markianidis as Girl Student,Stephen Tate as Patient,Valerie Scott as Teacher.",The genre of the movie is Thriller.
Intolerance,"The cast of the movie Intolerance includes Lillian Gish as The Woman Who Rocks The Cradle/Eternal Mother,Dore Davidson as The Friendly Neighbor,Edward Dillon as Crook,Elmer Clifton as The Rhapsode,Frank Bennett as Charles IX,Josephine Crowell as Catherine De M,Lucille Browne as Uplifter,Mary Alden as Uplifter,Miriam Cooper as The Friendless One,Monte Blue as The Strike Leader,Pearl Elmore as Uplifter,Sam De Grasse as Arthur Jenkins,Spottiswoode Aitken as Brown Eyes's Father,Taylor N. Duncan as Captain Of The Gateg/Bodyguard Of The Princess Beloved,William H. Brown as Father Of The Bride Of Cana/Warden.","The genre of the movie is Drama,History."
Pinocchio,"The cast of the movie Pinocchio includes Carlo Giuffrè as Geppetto,Nicoletta Braschi as Blue Fairy,Roberto Benigni as Pinocchio,Alessandro Bergonzoni as Ring Master,Bruno Arena as The Fox,Corrado Pani as Giudice,Franco Iavarone as Mangiafuoco,Giorgio Ariani as Host Of The Gambero Rosso,Kim Rossi Stuart as Lucignolo,Luis Molteni as Omino Di Burro,Max Cavallari as The Cat,Mino Bellei as Medoro,Peppe Barra as The Talking Cricket,Tommaso Bianco as Pulcinella,Vincenzo Cerami as Man With The Mustache.","The genre of the movie is Fantasy,Comedy,Family."
Touch of Evil,"The cast of the movie Touch of Evil includes Akim Tamiroff as 'Uncle' Joe Grandi,Charlton Heston as Mike Vargas,Dennis Weaver as Mirador Motel Night Manager,Janet Leigh as Susan Vargas,Joanna Moore as Marcia Linnekar,Joseph Calleia as Police Sergeant Pete Menzies,Mort Mills as Al Schwartz,Orson Welles as Police Captain Hank Quinlan,Ray Collins as District Attorney Adair,Valentin de Vargas as Pancho,Joi Lansing as Zita,Lalo Rios as Risto,Michael Sargent as Pretty Boy,Phil Harvey as Blaine,Victor Millan as Manelo Sanchez.","The genre of the movie is Drama,Thriller,Crime,Film-Noir."
The Lady Vanishes,"The cast of the movie The Lady Vanishes includes Angela Lansbury as Miss Froy,Arthur Lowe as Charters,Cybill Shepherd as Amanda,Elliott Gould as Robert,Gerald Harper as Todhunter,Herbert Lom as Dr. Hartz,Ian Carmichael as Caldicott,Jean Anderson as Baroness,Jenny Runacre as Mrs. Todhunter,Madlena Nedeva as Nun,Barbara Markham as Frau Kummer,Madge Ryan as Rose Flood Porter,Rosalind Knight as Evelyn Barnes,Vladek Sheybal as Trainmaster,Wolf Kahler as Helmut.","The genre of the movie is Action,Mystery,Thriller,Comedy,Romance."
The Treasure of the Sierra Madre,"The cast of the movie The Treasure of the Sierra Madre includes Alfonso Bedoya as Gold Hat,Arturo Soto Rangel as Presidente,Barton MacLane as McCormick,Bruce Bennett as Cody,Humphrey Bogart as Dobbs,José Torvay as Pablo,Manuel Dondé as El Jefe,Margarito Luna as Pancho,Tim Holt as Curtin,Walter Huston as Howard,Guillermo Calles as Mexican Storeowner,Jacqueline Dalya as Flashy Girl,Robert Blake as Mexican Boy Selling Lottery Tickets,Roberto Cañedo as Mexican Lieutenant,Spencer Chan as Proprietor.","The genre of the movie is Adventure,Drama,Western."
Pan's Labyrinth,"The cast of the movie Pan's Labyrinth includes Ariadna Gil as Carmen Vidal,Ivana Baquero as Ofelia,Sergi López as Vidal,Álex Angulo as Doctor,César Vea as Serrano,Doug Jones as Fauno/Pale Man,Eusebio Lázaro as Padre,Francisco Vidal as Sacerdote,Gonzalo Uriarte as Francés,Ivan Massagué as El Tarta,Juanjo Cucalón as Alcalde,Lina Mira as Esposa Del Alcalde,Manolo Solo as Garcés,Maribel Verdú as Mercedes,Roger Casamajor as Pedro.","The genre of the movie is Drama,Mystery,Thriller,Fantasy,War."
Some Like It Hot,"The cast of the movie Some Like It Hot includes Billy Gray as Sig Poliakoff,George E. Stone as Toothpick Charlie,George Raft as Spats Colombo,Jack Lemmon as Jerry/Daphne,Joan Shawlee as Sweet Sue,Joe E. Brown as Osgood Fielding III,Marilyn Monroe as Sugar Kane Kowalczyk,Nehemiah Persoff as Little Bonaparte,Pat O'Brien as Detective Mulligan,Tony Curtis as Joe/Josephine/Shell Oil Junior,Barbara Drew as Nellie,Beverly Wills as Dolores,Dave Barry as Beinstock,Harry Wilson as Spats' Henchman,Mike Mazurki as Spats' Henchman.","The genre of the movie is Comedy,Romance."
North by Northwest,"The cast of the movie North by Northwest includes Adam Williams as Valerian,Cary Grant as Roger O. Thornhill,Edward Platt as Victor Larrabee,Eva Marie Saint as Eve Kendall,James Mason as Phillip Vandamm,Jessie Royce Landis as Clara Thornhill,Josephine Hutchinson as Mrs. Townsend,Leo G. Carroll as The Professor,Martin Landau as Leonard,Philip Ober as Lester Townsend,Edward Binns as Captain Junket,Les Tremayne as Auctioneer,Patrick McVey as Sergeant Flamm,Philip Coolidge as Dr. Cross,Robert Ellenstein as Licht.","The genre of the movie is Action,Adventure,Mystery,Thriller."
Hoop Dreams,"The cast of the movie Hoop Dreams includes Arthur Agee as Himself,William Gates as Himself,Aretha Mitchell as Herself - High School Guidance Counselor,Arthur 'Bo' Agee as Himself - Arthur's Father,Bill Gleason as Himself - Television Reporter,Curtis Gates as Himself - William's Brother,Earl Smith as Himself - Talent Scout,Emma Gates as Herself - William's Mother,Gene Pingatore as Himself - High School Basketball Coach,Isiah Thomas as Himself - Professional Basketball Player,Luther Bedford as Himself - High School Basketball Coach,Marjorie Heard as Herself - High School Guidance Counselor,Marlyn Hopewell as Herself - High School Guidance Counselor,Patricia Weir as Herself - President: Encyclopedia Brittanica,Sheila Agee as Herself - Arthur's Mother.","The genre of the movie is Drama,Sport,Documentary."
Rashomon,"The cast of the movie Rashomon includes Daisuke Katô as Policeman,Kichijir as Commoner,Leslie Daniels as Priest,Machiko Kyô as Masako Kanazawa,Masayuki Mori as Takehiro Kanazawa,Minoru Chiaki as Priest,Noriko Honma as Medium,Takashi Shimura as Woodcutter,Toshirô Mifune as Tajômaru.","The genre of the movie is Drama,Mystery,Crime."
All About Eve,"The cast of the movie All About Eve includes Anne Baxter as Eve,Barbara Bates as Phoebe,Bette Davis as Margo,Celeste Holm as Karen,Gary Merrill as Bill Simpson,George Sanders as Addison DeWitt,Gregory Ratoff as Max Fabian,Hugh Marlowe as Lloyd Richards,Marilyn Monroe as Miss Casswell,Thelma Ritter as Birdie,Barbara White as Autograph Seeker,Craig Hill as Leading Man,Leland Harris as Doorman,Randy Stuart as Girl,Walter Hampden as Aged Actor.",The genre of the movie is Drama.
Jules and Jim,"The cast of the movie Jules and Jim includes Jeanne Moreau as Catherine,Oskar Werner as Jules,Anny Nelsen as Lucie,Bernard Largemain as Merlin,Danielle Bassiak as Albert's Companion,Dominique Lacarrière as One Of The Women,Elen Bober as Mathilde,Henri Serre as Jim,Kate Noelle as Birgitta,Marie Dubois as Th,Michel Subor as R,Pierre Fabre as Drunkard In Cafe,Sabine Haudepin as Sabine, La Petite,Serge Rezvani as Albert,Vanna Urbino as Gilberte.","The genre of the movie is Drama,Romance."
The Wild Bunch,"The cast of the movie The Wild Bunch includes Ben Johnson as Tector Gorch,Edmond O'Brien as Freddie Sykes,Emilio Fernández as Mapache,Ernest Borgnine as Dutch Engstrom,Jaime Sanchez as Angel,L.Q. Jones as T.C,Robert Ryan as Deke Thornton,Strother Martin as Coffer,Warren Oates as Lyle Gorch,William Holden as Pike Bishop,Albert Dekker as Harrigan,Bo Hopkins as Crazy Lee,Dub Taylor as Wainscoat,Jorge Russek as Zamorra,Paul Harper as Ross.","The genre of the movie is Action,Adventure,Western."
